Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
128268,192,Buy More Supercenter,TN,38401,151,12,Southeast,Nashville,2,2017,16775.3898,27431.86,36223.79,-0.388470567,0,2,0,0,0,2,0,0,0,0,1,0,0
127295,1039,Buy More Supercenter,NC,27030,308,26,Southeast,Raleigh-Durham,3,2017,11919.1599,25547.3702,36161.72,-0.533448656,0,3,2,0,1,1,0,2,0,0,3,2,0
127517,1240,Buy More Supercenter,AZ,85635,367,46,West,Tucson,2,2016,16921.8534,22191.34,36115.87,-0.237456891,0,1,0,0,1,0,0,0,0,0,2,0,0
127282,1027,Buy More Supercenter,NC,28027,306,26,Southeast,Charlotte,2,2015,12909.56,13894.66,36046.3195,-0.070897741,0,0,0,0,0,0,0,0,0,0,0,0,0
128492,2127,Buy More Supercenter,WI,54401,440,53,Central,Wausau-Rhinelander,1,2015,10278.79,7100.05,35961.4097,0.447706706,0,0,0,0,0,0,0,0,0,0,0,0,0
128003,1682,Buy More Supercenter,VA,23321,288,27,Northeast,Norfolk-Portsmouth,2,2018,9525.6994,12452.4899,35920.8002,-0.235036569,0,1,0,4,0,0,0,0,0,4,1,0,3
128291,1941,Buy More Supercenter,CA,91740,462,57,West,Los Angeles,3,2018,17089.1897,32022.58,35905.4733,-0.466339386,0,3,4,1,0,1,0,2,0,0,2,3,2
127946,1631,Buy More Supercenter,VA,23666,288,27,Northeast,Norfolk-Portsmouth,2,2016,17857.16,25265.8,35904.88,-0.293228,0,3,0,0,3,0,0,1,0,0,2,0,0
127398,1132,Buy More Supercenter,NC,27203,298,26,Southeast,Raleigh-Durham,3,2017,9308.8198,12425.06,35851.89,-0.250802829,0,3,2,0,1,3,0,3,0,0,3,2,0
132262,860,Buy More Supercenter,FL,32720,94,9,Southeast,Orlando,2,2016,13275.99,25172.23,35820.52,-0.472593807,0,1,0,0,0,0,0,0,0,0,0,0,0
128733,2371,Buy More Supercenter,CT,6492,163,17,Northeast,Hartford-New Haven,2,2017,21157.4998,24222.2098,35713.64,-0.12652479,0,3,2,0,0,0,0,0,0,0,0,0,0
132042,8134,Member's Buy More,AR,72903,6,South Central,Central,Little Rock-Springdale,3,2016,6707.1299,32442.64,35700.76,-0.793261895,0,1,0,0,0,0,0,0,0,0,0,0,0
129021,2695,Buy More Supercenter,FL,34711,89,9,Southeast,Gainesville-West Palm Beach,3,2017,6086.46,3608.8968,35167.03,0.686515392,1,1,4,0,5,4,0,1,0,0,3,2,0
128123,179,Buy More Supercenter,MO,65807,357,40,Central,"Springfield, MO",2,2015,7377.88,10966.02,34975.7499,-0.327205312,0,0,0,0,0,0,0,0,0,0,0,0,0
131383,6329,Member's Buy More,MS,38804,90,South Central,Southeast,Memphis,2,2015,6758.17,9593.3,34936.9098,-0.295532299,0,0,0,0,0,0,0,0,0,0,0,0,0
181653,5839,Buy More Supercenter,OR,97504,468,60,West,Medford-Klamath Falls,1,2017,22454.8898,29036.7466,34709.15,-0.226673356,0,6,0,0,1,0,0,1,0,0,0,0,0
